text,intent
"To integrate CalWIN with Documentum required signiﬁcant code changes to CalWIN but being a legacy application, code changes to CalWIN were really not an option.",Case_Study
Automation Anywhere’s non-invasive approach was the solution.,Case_Study
"This way, those setting up the automation could work with the application and automatically retrieve data without making changes to CalWIN itself.",Case_Study
Any other solution would have required programming or direct integration coding.,Case_Study
"Seamless execution on 2000 computers – SMART Automation Technology The agents all use di!erent computer conﬁgurations – so any solution would have to adjust to several parameters like screen sizes and resolutions, operating systems, and di!erent platforms including Citrix, and then run the automated tasks seamlessly on each computer.",Case_Study
"Automation Anywhere’s built-in SMART Automation Technology, designed with adaptability in mind, would make this doable.",Case_Study
It solved an ancillary issue as well: agents routinely opened multiple forms on the screen at once – and only the most recently opened was visible.,Case_Study
SMART Automation Technology captured data from all active and non-active windows.,Case_Study
"Project at-a-glance Challenge: Automating a complex, time-consuming veriﬁcation processes requiring a legacy application, a document management system, and a variety of corresponding business rules.",Case_Study
"Solution: A non-invasive automation process utilizing the front-end of both applications, and a system that completed all veriﬁcation requirements with the press of a single hotkey.",Case_Study
"Beneﬁts: Reduced costs and risks, faster turnaround for veriﬁcation, and fewer human errors.",Case_Study
"“ We evaluated many other products but we chose AA because of its ﬂexibility to integrate with legacy systems ...I would recommend AA for its ﬂexibility to integrate and automate processes of any kind.” - Vinesh Goyal, ECM Practice Director, Burntsand Corporation (Integrated solution provider, digitized ECM project for San Diego County)San Diego County - Health and Human Services AgencyAn Automation Anywhere Case StudyGo be great.",Case_Study
Solution Design Automation Anywhere experts devised a solution to bridge the systemic communication gap.,Case_Study
"An agent would be able to bring up veriﬁcation documents from Documentum, using information from the CalWIN system, and launch the veriﬁcation process with a single hotkey.",Case_Study
“ Automation Anywhere made it possible to integrate a legacy system with Documentum without requiring any changes to the legacy system.,Case_Study
"Solution deployment was breeze and users loved the e!ciency they achieved using Documentum as backend for content repository.” - Vinesh Goyal, ECM Practice Director, Burntsand Corporation (Integrated solution provider, digitized ECM project for San Diego County)Automation Anywhere would look at the open forms on the agent’s screen, use the combination to decide veriﬁcation ﬁelds, identify relevant documents, and then pull up those documents from the ECM system for the agent.",Case_Study
"This would speed up the decision making, which in turn would translate to a seamless experience for the agent and the end user.",Case_Study
"BeneﬁtsThe county had over 2000 agents using this system, which translated to countless hours saved in veriﬁcation time alone.",Case_Study
The beneﬁts of automating these systems?• A non-invasive solution reduced costs and risk.,Case_Study
No additional resources were required for custom programming.,Case_Study
"And no code changes were needed for CalWIN or the EMC enterprise content management system, so no additional resources were required for modiﬁcations either.",Case_Study
"• A quick and easy, side-by-side comparison meant faster turnaround for veriﬁcation processes.• Immediate ROI and time/cost savings• Increased productivity and e""ciency• Fewer human errors, particularly in the veriﬁcation process.",Case_Study
Discover how Automation Anywhere can give your business an edge.,Case_Study
Visit us at www.automationanywhere.com today.,Case_Study
San Diego County - Health and Human Services AgencyAn Automation Anywhere Case Study,Case_Study
" FUTURE OF SPACE TRAVEL SPACE TRAVEL FOR THE MASSES: HISTORY, CURRENT STATUS, PROBLEMS, AND FUTURE DIRECTIONS By Bo Rim Seo Submitted in Partial Fulfillment of B.S.",Case_Study
Worcester Polytechnic Institute Table of Contents III.,Case_Study
Table of Contents .......................................................................................................................................... 2 Abstract ......................................................................................................................................................... 4 I.,Case_Study
Introduction ........................................................................................................................................... 5 II.,Case_Study
Background ........................................................................................................................................... 9 A.,Case_Study
History of Space Travel .................................................................................................................... 9 1.,Case_Study
History of Rocketry ....................................................................................................................... 9 2.,Case_Study
History of Human Space Travel .................................................................................................. 10 3.,Case_Study
History of Space Shuttles ............................................................................................................ 14 B.,Case_Study
Current Status of Space Travel ....................................................................................................... 15 1.,Case_Study
Space tourism .............................................................................................................................. 15 2.,Case_Study
"Private companies ....................................................................................................................... 19 C. Problems, Limitations, and Possible Solutions ............................................................................... 20 1.",Case_Study
Safety and Convenience .............................................................................................................. 20 2.,Case_Study
Cost ............................................................................................................................................. 25 Problems with Conventional Propulsions and Alternative Solutions ............................................. 28 A.,Case_Study
Conventional Chemical Rockets ..................................................................................................... 28 B.,Case_Study
Hypothetical .................................................................................................................................... 35 1.,Case_Study
Ion Propulsion for Deep Space .................................................................................................... 35 2.,Case_Study
Field propulsion systems ............................................................................................................. 36 3.,Case_Study
Superconductors and Quantum Locking ..................................................................................... 37 4.,Case_Study
Using Earth’s Magnetism as Energy Resource .......................................................................... 39 5.,Case_Study
Plasma......................................................................................................................................... 40 Solar sail ..................................................................................................................................... 41 6.,Case_Study
Space Elevator ............................................................................................................................ 44 Other Considerations ...................................................................................................................... 50 A.,Case_Study
Contribution to Society ................................................................................................................... 50 B.,Case_Study
Contribution to Science and Technology ........................................................................................ 50 Gaining Energy from Outer Space ...................................................................................................... 52 V. Experimental Study on Generalizing Space Travel ............................................................................ 54 A.,Case_Study
Methods........................................................................................................................................... 54 IV.,Case_Study
Measures ......................................................................................................................................... 54 VI.,Case_Study
Results and Discussion ................................................................................................................... 56 VII.,Case_Study
Conclusion ...................................................................................................................................... 60 References ................................................................................................................................................... 62 Appendix ..................................................................................................................................................... 69 A. Timeline: History of Space Travel .................................................................................................. 69 B.,Case_Study
List of 6 private companies capable of sending human into space ................................................. 73 C. Pre-Survey before the presentation ................................................................................................. 74 D. Post-Survey after the presentation .................................................................................................. 76 E. Result from the pre-survey (In Italics) ............................................................................................ 79 F. Result from the post survey ............................................................................................................ 81 G. Flyer for the presentation ................................................................................................................ 84 H. Outline of the presentation .............................................................................................................. 85 Abstract Space travel has had a relatively short history.,Case_Study
"Despite its recency, the field has seen rapid development over the last several decades.",Case_Study
"Once the domain of governments, space travel is now also in the private sector.",Case_Study
"Since the first commercial human space flight took place in 2001, several other wealthy space tourists purchased their rides into space.",Case_Study
"Currently, more than 625 people have signed up for sub-orbital space flights with Virgin Galactic [1].",Case_Study
"However, there still are significant barriers in making space travel a reality for the general public.",Case_Study
This paper examines and analyzes these problems and posits the problem of conventional propulsion system as the central issue to target.,Case_Study
"Building upon these analyses, several alternative propulsion sources are discussed as new solutions.",Case_Study
"Additionally, presentation was performed in front of general public and surveys were conducted to assess the perceived accessibility of space travel to ordinary people.",Case_Study
"Results indicated the study participants indeed considered space travel to be a personally feasible aspiration when the problems related to cost, safety, and convenience were resolved.",Case_Study
"SPACE TRAVEL: HISTORY, CURRENT STATUS, PROBLEMS, AND FUTURE DIRECTIONS I.",Case_Study
Introduction The human race has been always an adventurous pioneering species.,Case_Study
"At high risks, we have gone out to explore unknown hostile places, and climbed over difficult mountains and hurdles while not having a clear idea what we might find[2].",Case_Study
"Such risk taking pioneering spirits, though at times costly, ultimately helped us to thrive and progress.",Case_Study
"Since the 1900s, air and space have been two of our biggest new frontiers.",Case_Study
"With raw passion, the legendary Wright brothers went through 4 years of mechanical aeronautical experimentations before sustaining their first powered and controlled flights in North Carolina in 1903[3], [4].",Case_Study
"After their public demonstration of air flight in 1908 at the French Hunaudieres race course, another 4 years passed before 39 countries came to possess hundreds of airplanes and numerous pilots[2].",Case_Study
"Through subsequent efforts at birthing new ideas and testing them, aviation technology was able to come to the point of mass producing the safe, cost-effective airplanes that we fly today[3].",Case_Study
"Unlike such incredible history of aviation, the history of space flight has not seen innovation for almost two generations[2].",Case_Study
"Only recently has there been another wave of new movement in the progress of space travel, since the space aeronautics industry got passed on from the hands of the government to the hands of the private sector.",Case_Study
"The privatization and commercialization of space travel has been a boon for the industry indeed, with exciting developments in new concepts and possibilities[2], [5].",Case_Study
"However, many hurdles still stand in the way of making space travel a reality for the everyman.",Case_Study
"Before expounding on the recent waves of innovation in space travel, it is important to acknowledge the lack of progress that had lasted for almost two generations.",Case_Study
"In fact, it is more accurate to state that we had regressed during those years[2].",Case_Study
"For example, in1998, the U.S. Air Force retreated to jets that were developed in 1956, forgoing the more impressive airplanes like the supersonic Lockheed SR-71 that was designed in 1959, only 12 years after the first operational jet.",Case_Study
"The Concord jet had doubled the speed of commercial airplanes, but since its retirement, the new airliners being currently manufactured are again the same speed as the DC8 planes in 1958.",Case_Study
"Likewise in space travel, the 1964 Grumman Apollo Lunar Module was a superb craft designed to fly only in space, which could land on and take off from the moon without requiring much maintenance[6].",Case_Study
"However, this was abandoned in 1972.",Case_Study
The number of manned space flights has also decreased.,Case_Study
"During the first year of human space flight with Gagarin’s lead, there were 5 flights in total.",Case_Study
"In 2003, in the year that all of the crew members sent from the U.S. were killed, there were 3 flights; in 2004, there were only two Russian flights[2], [7].",Case_Study
"Also, 40 years after our first moon landing, no plans exist to return to the moon until 2020, until we build the capability to have sustained human presence on the moon[8].",Case_Study
"Since the retirement of the Apollo and Saturn V programs, NASA’s rockets and space shuttles simply are not capable of going beyond low-Earth orbit to reach the moon, especially with the amount of payload required for such prolonged expedition and semi-permanent settlement[8], [9].",Case_Study
"Although NASA is currently developing new taller and larger rockets Ares I and Ares V to return to the moon and even surpass it[9] – perhaps to Mars – the goals for building cheaper, safer, stronger, faster rockets would require unprecedented amounts of creative innovation and investment.",Case_Study
"However, the fiscal challenges that face NASA have not been a trivial matter.",Case_Study
"In fact, this has been pointed out as one of the main reasons for the lack of progress in the last few decades in space travel.",Case_Study
"(Another reason stems from the lack of compelling public motivation, unlike the national security concern that fueled support for the Cold War era’s space race with the Soviets.",Case_Study
")[8] Currently, NASA’s cost for the construction of the Orion and Ares I alone is $35 billion, not counting other countless innovations that could and should take place in rocket science.",Case_Study
"Fortunately, recent privatization of the space industry has been, so far, a great antidote to the fiscal problem[2], [10] .",Case_Study
"Just as getting a 20 million from several billionaire space tourism customers sustained the starving Russian space program, the commercial space flight industry is predicted to add riches to the resource-poor space flight industry.",Case_Study
"Already more than 1.7 billion investments have occurred in private space flight industry by companies like Google, and that is only half of what is being committed and planned for the next few years.",Case_Study
"Soon, the investments are predicted to flow in at five times more than what NASA will be doing for human space flight by 2020[2], [10], [11].",Case_Study
The private space flight industry is definitely increasing in volume with a lot of players rising to benefit from the profitable market for public sub-orbital flights.,Case_Study
"To name a few, these players are Burt Rutan (Scaled Composites), Paul Allen, Elon Musk (SpaceX), Sir Richard Branson (Virgin Galactic), Jeff Bezos (Blue Origin), the Ansari family (Ansari X Prize), and Bob Bigelow (Bigelow Aerospace) , and David Thompson (Orbital Sciences)[12]–[14].",Case_Study
"Like the space race for prestige that took place between countries in the Cold War era, now these private companies are engaging in “the capitalist’s space race” to claim the honor of first reaching technological breakthroughs, as well as reaching the moon and beyond[15].",Case_Study
"Great innovations have already taken place to address the problems of safety, cost, and convenience that had limited space flight, through the development of more fuel-efficient and reusable rockets, better propulsion mechanisms, including solar sails.",Case_Study
This paper will discuss in detail these advances as well as more promising hypothetical alternatives in the later sections.,Case_Study
It also aims to target the problem of public buy-in by adding an intervention research component: educational seminar was administered to a group of diverse adults to increase their levels of awareness and sense of relevance in regards to space travel.,Case_Study
"All in all, with safer and cheaper options becoming available to offer even elliptical orbit trips around the moon like Apollo 8, it is believed that about 100,000 people will fly by 2020[2].",Case_Study
"Not only that, more excitements are now on the horizon, such as settlement on the moon, colonization of Mars, and intergalactic travel[2], [11].",Case_Study
"Background History of Space Travel History of Rocketry The outer space has been an object of fancy, inspiration, and study from ancient times.",Case_Study
"Looking into the magnificent sky and its stars, people have wondered what lies beyond them and whether they could reach the other side.",Case_Study
"With the development of the telescope in 1609 by Galileo Galilei, people were able to see the universe in more detail and to find out the principles of the cosmos.",Case_Study
"People discovered that the Earth was not the center of the universe, and that there were other planets orbiting around the sun with their own moons orbiting around them[16].",Case_Study
"The Earth’s moon is the closest celestial object to us, and it no longer appeared to be so out of reach in comparison to the vast universe[7].",Case_Study
"In 1903 the Wright Brothers succeeded in flying their aircraft and fueled the human zeal for air travel more: if powerful machinery could take us up into high skies, couldn’t there be machinery developed to take us up even to the moon?",Case_Study
"The Chinese fireworks, which used gun powder to create explosive propulsion, became the inspiration for the modern rockets.",Case_Study
"In same century, first rockets – or “rocce” in Old Italian for a long, thin tube – appeared in Europe as crude weapons for war.",Case_Study
"Though still limited in size, performance, and safety, propulsion charges from black powder (finely ground charcoal), potassium nitrate, and sulfur provided enough power to demonstrate the promising future of rockets.",Case_Study
Military rockets eventually increased in size and performance with continual refinement of the technology.,Case_Study
Contributing to rocket development as serious science was Sir Isaac Newton’s formulation of the laws of gravity and motion.,Case_Study
"These laws, clearly described in Newton’s Philosophiae Naturalis Principia Mathematica, are still used today to explain in detail how rockets and propulsion work[17] Near the beginning of the 20th century, the crude gunpowder rockets lost their significance as weapons and modern rocket science began.",Case_Study
"There are three men who are called “Fathers of Modern Rocketry.” Among them, the first person who researched rockets for the purpose of space travel was a former school teacher from Russia, named Konstantin Tsiolkovsky.",Case_Study
"He discovered the concept of exhaust velocity, which means that the greater the explosion of the fuel, the greater the thrust velocity.",Case_Study
Tsiolkovsky wrote many articles about the principles and theoretical aspects of spaceflight.,Case_Study
"His work greatly influenced space and rocket research in USSR and Europe[16], [17].",Case_Study
"In the United States, Robert Goddard found through his experiments that rockets could fly in a vacuum.",Case_Study
"Not only do they fly well in a vacuum, Goddard discovered that the rockets fly at even faster speeds in vacuum than in air, because vacuum does not have air resistance to reduce the rocket’s thrust.",Case_Study
"Goddard also became the first person to develop liquid-fuel for rockets, which were evidently more efficient than solid fuel despite some of its disadvantages (e.g.",Case_Study
"harder to handle, must be kept in separate tanks, and in very low temperatures of -300ºF)[16], [17].",Case_Study
"Goddard launched his first rocket in Auburn, Massachusetts in 1926 and continued to build engines and more complex rockets into his later life in New Mexico.",Case_Study
"Lastly, Hermann Oberth studied the requirements for interplanetary travel.",Case_Study
"He also was instrumental in promoting rocket science through his paper called, “By Rocket into Planetary Space,” which referenced Goddard’s work to present space travel as more of real science than just science fiction.",Case_Study
"It is said that by reading Oberth’s paper Tsiolkovsky became incited to publish his own work and new theories[16], [17].",Case_Study
"History of Human Space Travel Thanks to the pioneering work of the abovementioned Fathers of Modern Rocketry, the science of space travel has long reached a level where trained astronauts could travel into space.",Case_Study
"After the Soviet Union launched the first artificial satellite Sputnik into orbit in October 1957, Sputnik 2 soon followed a month later, this time carrying the first animal into space.",Case_Study
"Though the first dog Laika only survived for 4 hours in space due to malfunctioning environmental control system, 13 other dogs and animals were successfully sent and safely returned to Earth before the first human flight[17], [18].",Case_Study
"With the Soviet successes in space, the United States joined in competition and started the oft-called space race between the two countries.",Case_Study
President Eisenhower instituted the National Aeronautics and Space Administration (NASA) in 1958 to engage more fully in the goal to send human beings into space.,Case_Study
"Besides this main goal, NASA sent probes to explore the earth’s space environment: the moon and other planets, as well as the sun and stars[16].",Case_Study
"In the same year, Project Mercury was created with the sole purpose of sending Americans into the outer space, on orbital flights.",Case_Study
"Starting from the year 1961, the Project trained and sent 7 young pilots who became the nation’s first astronauts.",Case_Study
"Although the Project had hoped that one of these 7 would become the first man in space, in April 1961, Yuri Gagarin of Soviet Union claimed the honor – just a few weeks before the U.S.’s Alan Shepard went into space in May 1961[19].",Case_Study
"Yuri Gagarin thus became the first human to be in sub-orbital space, flying in the spacecraft Vostok.",Case_Study
"Despite the concerns over the negative health effects of weightlessness, Gagarin returned unharmed and functioned normally.",Case_Study
Valentina Tereshkova soon became the first woman to be in space for 3 days on Vostok 6 in 1963.,Case_Study
These successes of Vostok missions were followed by improvements to the spacecraft that would enable even travel around the moon[18].,Case_Study
"This new generation of spaceships was called Voskhod, and it became the first multi- person spacecraft, carrying 3 cosmonauts crammed into the cabin designed for one.",Case_Study
"On Voskhod 2, Alexei Leonov then became the first man to make a spacewalk that lasted for about 12 minutes in 1965.",Case_Study
"However, the Voskhod missions were discontinued when the Soviet Union decided to focus its energies on the moon race with the United States[19].",Case_Study
The competition between Soviet Union and United States on striving to reach the moon first was a fierce one.,Case_Study
"Former President John F. Kennedy even presented this issue in a “Special Message to the Congress on Urgent National Needs,” urging the Congress to quickly create a space program rivaling the Soviets[20].",Case_Study
"Thus, in 1961, in the midst of the Cold War, the U.S. created the Apollo program with the aim to reach the moon by the end of the decade.",Case_Study
"After several successful orbiting around the moon, United States finally had Neil Armstrong land on the surface of the moon through Apollo 11 in 1969.",Case_Study
"This feat was accomplished by building and launching two separate space crafts, Apollo and Saturn V, in order to cover the long distance to the moon.",Case_Study
"Saturn V, one of the largest rockets ever flown successfully, took Apollo half way to the moon then launched it into the lunar trajectory.",Case_Study
"The 6 teams of astronauts sent through the Apollo program landed successfully on the moon and collected data on observations and experiments, and brought samples of the lunar dust and rocks[19].",Case_Study
"The next challenge for the aeronautical community was forging an international collaboration, leaving behind the era of international competition between the U.S. and the Soviet Union.",Case_Study
"In 1975, they had Apollo-Soyuz Test Project as the first international space mission.",Case_Study
"Soyuz spacecraft launched from the center in Central Asia, and Apollo from the Kennedy Space Center in Florida.",Case_Study
The two crew teams met in orbit and visited each other’s space crafts[21].,Case_Study
"This paved the way for the future ventures, including the sending of U.S. space missions to the Russian Mir space station.",Case_Study
European nations also joined in this international trend by creating a European Space Agency (ESA) in the same year of 1975.,Case_Study
"These 15 nations were: Austria, Belgium, Denmark, Finland, France, Germany, Ireland, Italy, Netherlands, Norway, Portugal, Spain, Sweden, Switzerland, and the United Kingdom.",Case_Study
"The ESA participated in many solar system missions, with a large budget reaching 3.1 billion U.S. dollars in 2003[21].",Case_Study
"The active international space collaboration is well exemplified in the establishment of the International Space Station, which now orbits the Earth as the largest artificial object in space as well as the habitat of longest human presence in space (13 years).",Case_Study
"ISS was created as a merger of three space station projects in 1993, with components for Russian Mir-2, American Freedom, European Columbus space station programs.",Case_Study
"In this microgravity and space research environment, astronauts and cosmonauts from 15 different nations have visited and conducted various experiments.",Case_Study
"Finally, in 2003 China became the third nation to launch a human into space, aboard the Shenzhou 5.",Case_Study
"China’s own space station, Tiangong, was finally launched into space in 2011[22].",Case_Study
"However, the history of space travel was not without tragedy.",Case_Study
There were several accidents that cost lives and caused a lot of media coverage and international upheaval.,Case_Study
"In 1967, for example, Vladimir Komarov of Soviet Union died in a crash of Soyuz 1 due to a series of technical issues, including parachute failure after re-entry into the Earth’s atmosphere.",Case_Study
"As Komarov’s death was the first to occur during space flight, the tragic incident spurred the development of improvements in spaceship design[23].",Case_Study
"In the United States, the Challenger space shuttle exploded in 1986 after 73 seconds into its flight, killing 7 crew members.",Case_Study
"In reaction to this tragedy, the U.S. space program was grounded for 32 months, as the public and program questioned and weighed the safety of space flight[2], [23], [24].",Case_Study
"After the Challenger accident, further launches were prohibited for any vehicle loaded with commercial payload.",Case_Study
"As commercial launches were prohibited for the U.S. government space program, this instigated the development of private sector space exploration companies.",Case_Study
"As of 2013, he last recorded space casualty occurred in 2003 with the space shuttle Columbia, which disintegrated with its 7 crew members while re-entering the Earth after a 2-week mission, due to structural failures after encountering problems in its thermal protection system[23].",Case_Study
"In total, 18 out of the 430 humans who flew in space have died, 14 on two shuttle missions and four on two Soyuz flights.",Case_Study
"This is equivalent to the fatality rate of 4.19 percent, though the rate is somewhat inflated by counting those who have flown on multiple flights.",Case_Study
"Compared to other adventures, this rate is similar to the one for climbing Mt.",Case_Study
Everest.,Case_Study
"However, Rich Hauck, a former astronaut and CEO of AXA Space, a leading space insurance company, believes the risk of death needs to be decreased before public space travel becomes widely accepted.",Case_Study
"In order for the public feel safe enough to travel to space, the fatality rate should be reduced to less than 1 percent, Hauck said.",Case_Study
"As a reference, that is about the same percent risk that the typical American encounters during one’s lifetime, dying in an ordinary traffic accident[24].",Case_Study
History of Space Shuttles NASA has been planning to build a reusable spaceship beginning in the 1960s.,Case_Study
"In 1972, the Congress gave NASA the permission to start the shuttle program.",Case_Study
"[25] Due to budget constraints, however, NASA cut the development costs through combining the use of reusable and throw-away elements in the shuttle design[25].",Case_Study
"Big wing span as big as a mid-sized passenger airplane, and capacity for up to 8 astronauts.",Case_Study
"It had several main areas, namely the crew cabin, cargo bay, and liquid fuel for rocket engines that enable the launch and maneuver of the shuttle in space, as well as its return to Earth.",Case_Study
"Among its protection system, the most important is the thermal protection system to protect the shuttle from intensive heat during the re-entering of the Earth’s atmosphere.",Case_Study
"These orbiter shuttles are designed to land on the runway of the Kennedy Space Center, gliding in its final moments as an unpowered glider.",Case_Study
"They made five of these shuttles: Columbia, Challenger, Discovery, Endeavour, and Atlantis[26].",Case_Study
"From its first flight in 1981, space shuttles have flown many different missions.",Case_Study
"For example, the space shuttle Columbia flew 28 missions, before disintegrating during its re-entry after its last mission[26].",Case_Study
"The shuttles’ missions included deploying satellites, capturing them in orbit for repair, and returning them to earth; leading many scientific experiments, such as the study of how weightlessness affects living organisms; and becoming observational sites for studying the heavenly bodies of the universe.",Case_Study
Perhaps the most crucial mission of the U.S. space shuttle was the launching of the famous Hubble Telescope by Discovery in 1990.,Case_Study
"The shuttles even flew secret missions for the Departments of Defense, and played crucial roles in constructing the ISS[26].",Case_Study
"Despite its versatility and reusablity, the space shuttle program has largely failed in reducing the costs of human space flight.",Case_Study
"Because of its complexity, the shuttle required lots of maintenance between each mission; and after its risk was underscored after two shuttles crashed and killed all of its crew members, the shuttle program was stopped in 2011[26].",Case_Study
"Current Status of Space Travel Space tourism Today, new kinds of space travel are emerging.",Case_Study
"The year 2001 marked the beginning of space tourism, as a wealthy California businessman, Dennis Tito, became the first paying passenger for space flight[27].",Case_Study
"He paid $20 million to be launched by Soyuz TM-32 via arrangements made between an American company called Space Adventures and a Russian company MirCorp, which oversaw the Mir space station.",Case_Study
"The ticket sale was to fund the maintenance of the Mir space station; however, a premature deorbit decision diverted Tito’s destination to the ISS.",Case_Study
"For 8 days, Tito enjoyed a unique vacation in orbit and spent seven days on board the ISS[27], [28].",Case_Study
"Initially, there were many controversies in NASA in regards to the possible delays that such tourism would cause for the scheduled work.",Case_Study
"However, the concerns proved to be unfounded as no delays were experienced[28].",Case_Study
"Many other laypersons followed Tito’s footsteps: Mark Shuttleworth, a South African technology entrepreneur in 2002; Gregory Olsen, an American entrepreneur-engineer-scientist in 2005; Anousheh Ansari, an Iranian American businesswoman in 2006; and several other wealthy persons[27].",Case_Study
"Given the orbital nature of these flights, most of these commercial space travelers needed to go through arduous training for their missions, alongside professional astronauts.",Case_Study
"However, several private companies are developing suborbital space vehicles to commercialize space travel, which would take passengers to an altitude of 100 km (62 miles)[27].",Case_Study
"In the coming years, it is expected that such suborbital space tourism will become more affordable, safer, and easier for a wider range of customers [28].",Case_Study
"In 2004, a concrete step towards realizing suborbital space tourism was achieved.",Case_Study
"During the $10 million Ansari X Prize challenge, private companies competed with each other to launch a reusable manned spacecraft twice within two weeks[27].",Case_Study
"On October 4, 2004, Virgin Galactic and Burt Rutan of Scaled Composites won the X Prize with their successful SpaceShipOne and opened the new era of commercial manned spaceflight.",Case_Study
"In the same year, U.S. Commercial Space Launch Amendments Act (CSLAA) was instituted to have Federal Aviation Administration (FAA) regulate the safety of commercial human spaceflight in the U.S.",Case_Study
