,Filename,Sentence,Label
49,Casestudy-Signifynew.pdf,"BENEFITS 60% 50% Reduction in Average handling time (AHT) FTEs freed up for innovative work 100% Visibility into financial operations 100% On-time SLAs STORY DETAILS Signify began their RPA journey in 2017 with a pilot program, wherein Infosys enabled deployment of RPA from Automation Anywhere within the finance domain.",0
50,Casestudy-Signifynew.pdf,"After achieving quick success, Signify automated many of their front-end finance processes and have reaped significant benefits, including lower costs, faster processes, improved quality and higher job satisfaction.",0
51,Casestudy-Signifynew.pdf,"For example, software bots now monitor each account daily, so they can keep owners up-to-date on billing.",0
52,Casestudy-Signifynew.pdf,"If a customer doesn’t respond for seven days after a bill is sent, bots automatically generate a reminder letter using a predefined standard template.",0
53,Casestudy-Signifynew.pdf,These letters are translated by the bots into appropriate languages so they can be used throughout the world.,0
54,Casestudy-Signifynew.pdf,"If a dunning letter is required due to late payment of a bill, the bots send one, and then notify a human manager about the delinquent account.",0
55,Casestudy-Signifynew.pdf,This has substantially enhanced cash flow while freeing up resources to design innovative new sources of lighting.,0
56,Casestudy-Signifynew.pdf,"THE FUTURE After experiencing automation success, Signify is planning on further using Infosys' expertise to roll out Automation Anywhere RPA, to more of its finance and master data management processes in the near future, to help automate their processes end-to-end.",0
57,Casestudy-Signifynew.pdf,RPA is expected to dramatically reduce the time and cost of performing basic tasks for both the front and back office.,0
58,Casestudy-Signifynew.pdf,"""Robotization is changing the way we perform our regular job by giving space for a niche set of activities.""",0
59,Casestudy-Signifynew.pdf,"— Srinivasan Damodaran, Services Head—Client Operations, Infosys BPM About Infosys BPM Infosys BPM Ltd., the business process management (BPM) subsidiary of Infosys Ltd. (NYSE: INFY), offers integrated end-to-end transformative BPM services to its clients.",0
60,Casestudy-Signifynew.pdf,Infosys BPM has journeyed through the table-stakes of effectiveness and efficiency with an ever-increasing focus on enhancing stakeholder experience and empathy.,0
61,Casestudy-Signifynew.pdf,"Infosys BPM enables its clients to navigate their digital journey, operating from 32 delivery centers across 16 countries with more than 38800 people from over 100 nationalities.",0
62,Casestudy-Signifynew.pdf,"About Automation Anywhere Automation Anywhere empowers people whose ideas, thought and focus make the companies they work for great.",0
63,Casestudy-Signifynew.pdf,We deliver the world’s most sophisticated Digital Workforce platform making work more human by automating business processes and liberating people.,0
64,Casestudy-Signifynew.pdf,Automation Anywhere www.automationanywhere.com North America: 1-888-484-3535 x1 | International: 1-408-834-7676 x1 @AutomationAnywh www.linkedin.com/company/automation-anywhere sales@automationanywhere.com Automation Anywhere ©2019 January 2020 ®,0
